,i,year,month,acyear,title,category,inst,instclass,url
159,159,2006,8,2006,Solar Physics Post-Doctoral Position - JRID26991,PostV,Michigan State University,Large Academic,../job_view?JobID=26991
160,160,2012,1,2011,Postdoctoral Fellow in Radio Astronomy - Murchison Widefield Array - JRID41311,Post-doctoral Positions and Fellowships,Victoria University of Wellington,Large Academic,../job_view?JobID=41311
161,161,2012,2,2011,Postdoctoral position in astronomy - JRID41641,Post-doctoral Positions and Fellowships,Radboud University Nijmegen,Large Academic,../job_view?JobID=41641
162,162,2013,11,2013,LSST Research Scientists - JRID46148,Scientific/Technical Staff,University of Washington,Large Academic,../job_view?JobID=46148
163,163,2013,11,2013,W. M. Keck Institute for Space Studies Prize Postdoctoral Fellow - JRID46141,Post-doctoral Positions and Fellowships,Keck Institute for Space Studies / Caltech,Small Academic,../job_view?JobID=46141
164,164,2013,11,2013,Assistant Professor - JRID46145,Faculty Positions (tenure and tenure-track),Stony Brook University,Other,../job_view?JobID=46145
165,165,2013,5,2012,"Postdoc in astrophysics, especially star and planet formation - JRID44951",Post-doctoral Positions and Fellowships,"Earth and Space Sciences, Chalmers university of technology, Sweden",Foreign,../job_view?JobID=44951
166,166,2013,5,2012,Postdoctoral Research Scholar Position in High Energy Astrophysics - JRID44894,Post-doctoral Positions and Fellowships,University of Iowa,Large Academic,../job_view?JobID=44894
167,167,2013,5,2012,Martin and Michele Cohen Dean of Science - JRID44896,Faculty Positions (tenure and tenure-track),City College of New York,Large Academic,../job_view?JobID=44896
168,168,2015,1,2014,HSC Project Assistant Professor - JRID50360,Faculty Positions (visiting and non-tenure),"National Astronomical Observatory of Japan, Subaru Telescope",Foreign,../job_view?JobID=50360
169,169,2013,5,2012,Senior research fellow - JRID44898,Post-doctoral Positions and Fellowships,Lund University,Large Academic,../job_view?JobID=44898
170,170,2015,8,2015,PhD position in Gravitational Lensing at MPA - JRID51418,Pre-doctoral/Graduate Positions,Max Planck Institute for Astrophysics,Foreign,../job_view?JobID=51418
